"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PA,Physician Assistant,207QS0010X,SPORTS MEDICINE (FAMILY MEDICINE) PHYSICIAN,5
PA,Physician Assistant,207VM0101X,MATERNAL & FETAL MEDICINE PHYSICIAN,5
PA,Physician Assistant,207VX0000X,OBSTETRICS PHYSICIAN,5
PA,Physician Assistant,2080P0205X,PEDIATRIC ENDOCRINOLOGY PHYSICIAN,5
PA,Physician Assistant,2080P0208X,PEDIATRIC INFECTIOUS DISEASES PHYSICIAN,5
PA,Physician Assistant,2080S0010X,PEDIATRIC SPORTS MEDICINE PHYSICIAN,5
PA,Physician Assistant,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,5
PA,Physician Assistant,2085B0100X,BODY IMAGING PHYSICIAN,5
PA-C,Physician Assistant Certified,207LC0200X,CRITICAL CARE MEDICINE (ANESTHESIOLOGY) PHYSICIAN,5
PA-C,Physician Assistant Certified,207RA0001X,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY PHYSICIAN,5
PA-C,Physician Assistant Certified,207RA0401X,ADDICTION MEDICINE (INTERNAL MEDICINE) PHYSICIAN,5
PA-C,Physician Assistant Certified,207VM0101X,MATERNAL & FETAL MEDICINE PHYSICIAN,5
PA-C,Physician Assistant Certified,207YP0228X,PEDIATRIC OTOLARYNGOLOGY PHYSICIAN,5
PA-C,Physician Assistant Certified,2080P0206X,PEDIATRIC GASTROENTEROLOGY PHYSICIAN,5
PA-C,Physician Assistant Certified,2083A0300X,ADDICTION MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,5
PA-C,Physician Assistant Certified,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,5
PA-C,Physician Assistant Certified,2084E0001X,EPILEPSY PHYSICIAN,5
PA-C,Physician Assistant Certified,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,5
PAC,Physician Assistant Certified,207RC0200X,CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,5
PAC,Physician Assistant Certified,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,5
RPA,Registered Physician Assistant,207P00000X,EMERGENCY MEDICINE PHYSICIAN,5
MPAS,Master of Physician Assistant Studies,2084P0800X,PSYCHIATRY PHYSICIAN,4
PA,Physician Assistant,207QH0002X,HOSPICE AND PALLIATIVE MEDICINE (FAMILY MEDICINE) PHYSICIAN,4
PA,Physician Assistant,207QS1201X,SLEEP MEDICINE (FAMILY MEDICINE) PHYSICIAN,4
PA,Physician Assistant,207RT0003X,TRANSPLANT HEPATOLOGY PHYSICIAN,4
PA,Physician Assistant,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,4
PA,Physician Assistant,2080P0201X,PEDIATRIC ALLERGY/IMMUNOLOGY PHYSICIAN,4
PA,Physician Assistant,2084N0402X,NEUROLOGY WITH SPECIAL QUALIFICATIONS IN CHILD NEUROLOGY PHYSICIAN,4
PA,Physician Assistant,2084P0802X,ADDICTION PSYCHIATRY PHYSICIAN,4
PA,Physician Assistant,2084S0012X,SLEEP MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,4
PA,Physician Assistant,2085P0229X,PEDIATRIC RADIOLOGY PHYSICIAN,4
PA,Physician Assistant,2088F0040X,UROGYNECOLOGY AND RECONSTRUCTIVE PELVIC SURGERY (UROLOGY) PHYSICIAN,4
PA-C,Physician Assistant Certified,207RT0003X,TRANSPLANT HEPATOLOGY PHYSICIAN,4
PA-C,Physician Assistant Certified,207YX0905X,OTOLARYNGOLOGY/FACIAL PLASTIC SURGERY PHYSICIAN,4
PA-C,Physician Assistant Certified,2082S0099X,PLASTIC SURGERY WITHIN THE HEAD AND NECK (PLASTIC SURGERY) PHYSICIAN,4
PA-C,Physician Assistant Certified,2084B0040X,BEHAVIORAL NEUROLOGY & NEUROPSYCHIATRY PHYSICIAN,4
PA-C,Physician Assistant Certified,2084P0805X,GERIATRIC PSYCHIATRY PHYSICIAN,4
PA-C,Physician Assistant Certified,2085B0100X,BODY IMAGING PHYSICIAN,4
PA-C,Physician Assistant Certified,2085P0229X,PEDIATRIC RADIOLOGY PHYSICIAN,4
PA-C,Physician Assistant Certified,2085R0001X,RADIATION ONCOLOGY PHYSICIAN,4
PAC,Physician Assistant Certified,207K00000X,ALLERGY & IMMUNOLOGY PHYSICIAN,4
PAC,Physician Assistant Certified,207L00000X,ANESTHESIOLOGY PHYSICIAN,4
PAC,Physician Assistant Certified,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,4
PAC,Physician Assistant Certified,2085R0204X,VASCULAR & INTERVENTIONAL RADIOLOGY PHYSICIAN,4
RPA-C,Registered Physician Assistant Certified,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,4
RPA-C,Registered Physician Assistant Certified,208M00000X,HOSPITALIST PHYSICIAN,4
MPAS,Master of Physician Assistant Studies,207R00000X,INTERNAL MEDICINE PHYSICIAN,3
MPAS,Master of Physician Assistant Studies,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,3
MPAS,Master of Physician Assistant Studies,2084N0400X,NEUROLOGY PHYSICIAN,3
PA,Physician Assistant,202C00000X,INDEPENDENT MEDICAL EXAMINER PHYSICIAN,3
PA,Physician Assistant,204D00000X,NEUROMUSCULOSKELETAL MEDICINE & OMM PHYSICIAN,3
PA,Physician Assistant,207WX0107X,RETINA SPECIALIST (OPHTHALMOLOGY) PHYSICIAN,3
PA,Physician Assistant,207YX0602X,OTOLARYNGIC ALLERGY PHYSICIAN,3
