"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
ADMINISTRATOR,Administrator,207ND0101X,MOHS-MICROGRAPHIC SURGERY PHYSICIAN,1
AE-C,Certified Asthma Educator,208D00000X,GENERAL PRACTICE PHYSICIAN,1
AMFT,Associate Marriage and Family Therapist,2084P0800X,PSYCHIATRY PHYSICIAN,1
AS,Associate of Science,207XS0106X,ORTHOPAEDIC HAND SURGERY PHYSICIAN,1
AS,Associate of Science,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,1
ASW,Associate Social Worker,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,1
ASW,Associate Social Worker,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,1
AT,Athletic Trainer,207Q00000X,FAMILY MEDICINE PHYSICIAN,1
AT,Athletic Trainer,207RS0010X,SPORTS MEDICINE (INTERNAL MEDICINE) PHYSICIAN,1
AT,Athletic Trainer,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,1
AT,Athletic Trainer,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,1
AT,Athletic Trainer,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,1
AT,Athletic Trainer,2084S0010X,SPORTS MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,1
ATC,Athletic Trainer Certified,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,1
ATC,Athletic Trainer Certified,207XX0004X,ORTHOPAEDIC FOOT AND ANKLE SURGERY PHYSICIAN,1
ATC,Athletic Trainer Certified,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,1
ATC,Athletic Trainer Certified,208000000X,PEDIATRICS PHYSICIAN,1
ATC,Athletic Trainer Certified,2080P0214X,PEDIATRIC PULMONOLOGY PHYSICIAN,1
